video_id,video_title,views,video_likes,video_total_comments,fetched_comments,engagement_rate
2GIouJWh5Wo,iPhone 16 BBD Sale 2026🔥iPhone 16 Big Billion Days 2026 | iPhone 16 Big Billion 2026 |iPhone 16 2026,4753,62,8,5,0.014727540500736377
8Y7Iq9H3t0w,I bought EVERY SINGLE IPHONE. 🤯,56539936,3782302,25426,99,0.06734581376250585
NZV3sVFec0w,🍎 iPhone 17e - Power Ila da...❌  தவறு ✅🤦‍♂️..... ⭐ TechSuperStar ⭐,67897,3775,104,89,0.057130653784408736
O9nMs48QM8k,My TOP 4 iPhones of ALL TIME 😳 #iphone #apple #iphones #tech,2288693,112266,1089,100,0.04952826788040161
OcUQUuLnDt0,iPhone 13 Vs iPhone 13 Pro || Camera Zoom Test! #shorts,9051450,72123,237,100,0.007994299255920323
